@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
782,'2017/10/21 23:24:41:514',15,358.124939,329.929138,5.583119,0.049198,0.016763,0.037665,11.45515,1.519857,7.270329,7.269885,2.928941,2.914906,23.663193,5.707169,1,0,0
783,'2017/10/21 23:24:41:613',15,358.97998,328.985291,5.595857,0.046583,0.013605,0.044774,11.454176,1.375772,7.044744,7.036601,3.037013,3.02031,23.704304,5.782393,1,0,0
784,'2017/10/21 23:24:41:681',15,363.765198,327.589996,5.595145,0.044604,-0.017373,0.05486,11.51923,1.434737,6.950567,6.936503,3.174937,3.146161,23.957109,5.797186,1,0,0
785,'2017/10/21 23:24:41:781',15,370.480438,327.067535,5.594195,0.046011,-0.060233,0.065789,11.394729,1.526288,6.845922,6.809515,3.250913,3.215907,23.898378,5.725373,1,0,0
786,'2017/10/21 23:24:41:847',15,374.913757,327.937469,5.588657,0.013107,-0.082583,0.078709,11.462213,1.585796,6.778021,6.690556,3.319903,3.307241,23.655069,5.809121,1,0,0
787,'2017/10/21 23:24:41:949',15,375.017059,329.086823,5.571668,-0.015705,-0.074732,0.08735,11.273195,1.603035,6.975296,6.896403,3.13688,3.120721,23.312027,5.969169,1,0,0
788,'2017/10/21 23:24:42:015',15,371.889801,329.603119,5.566129,-0.01426,-0.056029,0.082541,11.419722,1.669052,6.995856,6.908429,3.13813,3.125131,23.359451,5.889637,1,0,0
789,'2017/10/21 23:24:42:080',15,366.615265,329.600128,5.568521,-0.013899,-0.022622,0.074289,11.439646,1.568537,6.998088,6.924809,3.105137,3.100458,23.157095,5.910862,1,0,0
790,'2017/10/21 23:24:42:170',15,359.687378,328.665833,5.583029,0.025946,0.013264,0.054278,11.660474,1.471364,7.001895,7.009622,3.059896,3.068835,23.07695,5.84527,1,0,0
791,'2017/10/21 23:24:42:248',15,352.405243,327.554932,5.587607,0.051796,0.046866,0.035875,11.670314,1.302091,6.996156,7.032226,3.126563,3.134185,22.93421,5.960495,1,0,0
792,'2017/10/21 23:24:42:349',15,346.13385,327.315399,5.583568,0.042255,0.083333,0.011654,11.521655,1.376149,7.016766,7.078348,3.08607,3.083981,23.270166,5.954486,1,0,0
793,'2017/10/21 23:24:42:416',15,343.372345,327.403351,5.584552,0.046324,0.0894,0.002451,11.544113,1.485554,6.94192,6.985971,3.27085,3.258069,23.150585,5.956986,1,0,0
794,'2017/10/21 23:24:42:516',15,344.908569,326.230042,5.586355,0.037917,0.078631,0.007992,11.557508,1.307693,6.853698,6.874567,3.239128,3.229911,23.701725,5.882663,1,0,0
