@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute neutral numeric
@attribute smile numeric
@attribute surprise numeric

@data
876,'2017/10/21 23:25:09:435',17,359.073334,317.73465,5.731963,0.002064,-0.022252,0.034361,11.301148,2.056198,6.818918,6.823803,2.944876,2.916293,26.327433,5.628871,0,0,1
877,'2017/10/21 23:25:09:535',17,362.794769,317.394623,5.731105,-0.009738,-0.049811,0.037698,11.118156,2.116765,6.891176,6.895868,2.937802,2.904781,26.3911,5.452758,0,0,1
878,'2017/10/21 23:25:09:601',17,364.187592,317.360352,5.711745,-0.013067,-0.059869,0.039207,11.103874,2.00268,6.896327,6.889079,2.881048,2.842645,26.222513,5.615241,0,0,1
879,'2017/10/21 23:25:09:703',17,362.956757,317.532196,5.716382,-0.029389,-0.047358,0.042516,11.141269,2.03203,6.804676,6.818231,2.992988,2.960187,26.31394,5.445332,0,0,1
880,'2017/10/21 23:25:09:769',17,358.472961,317.409454,5.72586,-0.004587,-0.006799,0.045685,11.110947,1.886941,6.774358,6.80107,2.911947,2.904041,26.217453,5.699257,0,0,1
881,'2017/10/21 23:25:09:837',17,353.547363,317.60672,5.717233,0.001969,0.021392,0.044641,11.190838,1.884316,6.778633,6.81147,2.965656,2.977689,26.089703,5.703836,0,0,1
882,'2017/10/21 23:25:09:936',17,351.268402,317.452423,5.718895,0.011284,0.034409,0.038596,11.243358,2.052275,6.821816,6.850766,2.904448,2.91869,26.026148,5.729592,0,0,1
883,'2017/10/21 23:25:10:002',17,351.093018,318.061951,5.720399,-0.010108,0.034201,0.035522,11.400182,1.984293,6.809752,6.835771,2.918658,2.920706,25.986027,5.612858,0,0,1
884,'2017/10/21 23:25:10:103',17,352.552002,317.491302,5.709628,-0.018529,0.020901,0.031298,11.349806,2.379033,6.839454,6.865024,2.921165,2.920835,26.170553,5.658132,0,0,1
885,'2017/10/21 23:25:10:159',17,356.405121,316.49057,5.721561,-0.005133,-0.006467,0.034314,11.336766,1.997635,6.82151,6.826659,2.932713,2.914492,26.440405,5.565117,0,0,1
886,'2017/10/21 23:25:10:269',17,359.242767,316.04306,5.719855,-0.007084,-0.023593,0.036567,11.237805,2.205129,6.824106,6.832821,2.909826,2.884506,26.285059,5.684765,0,0,1
887,'2017/10/21 23:25:10:336',17,360.275757,316.085144,5.709621,-0.013722,-0.032285,0.037454,11.224051,1.967852,6.813789,6.830392,2.938419,2.917073,26.09753,5.783587,0,0,1
888,'2017/10/21 23:25:10:391',17,359.348602,316.149994,5.719678,-0.020841,-0.022686,0.038428,11.292857,2.116271,6.807348,6.837647,2.912037,2.888001,26.346697,5.459585,0,0,1
889,'2017/10/21 23:25:10:486',17,355.733917,316.367615,5.717453,-0.004555,0.007741,0.035247,11.181539,1.967879,6.847428,6.884761,2.876255,2.853809,26.320974,5.659415,0,0,1
890,'2017/10/21 23:25:10:551',17,351.693665,316.37146,5.719718,0.011808,0.029825,0.033357,11.367432,2.009489,6.840484,6.874221,2.895757,2.889766,26.202099,5.685401,0,0,1
891,'2017/10/21 23:25:10:655',17,348.783722,316.681091,5.712461,0.016817,0.046499,0.02956,11.191978,1.891516,6.894536,6.93424,2.842663,2.860926,26.068518,5.697904,0,0,1
892,'2017/10/21 23:25:10:724',17,347.77063,317.78418,5.718867,-0.008271,0.056584,0.02533,11.330837,1.968477,6.806194,6.837124,2.930624,2.93591,25.8573,5.74703,0,0,1
893,'2017/10/21 23:25:10:818',17,348.224609,317.887268,5.714758,-0.021506,0.052314,0.02509,11.306853,2.084715,6.858315,6.884163,2.883978,2.883674,26.115946,5.535817,0,0,1
894,'2017/10/21 23:25:10:886',17,350.754822,317.277863,5.721661,0.000169,0.03417,0.027954,11.292374,2.050926,6.848494,6.864963,2.917373,2.916057,26.074028,5.669196,0,0,1
895,'2017/10/21 23:25:10:952',17,354.159363,316.725189,5.724741,0.000134,0.011619,0.030201,11.316806,2.140397,6.911094,6.930888,2.846144,2.832216,26.385408,5.547472,0,0,1
896,'2017/10/21 23:25:11:053',17,357.657379,316.569855,5.728227,-0.000254,-0.012607,0.031157,11.234266,2.069114,6.848228,6.866865,2.922225,2.895291,26.178333,5.75962,0,0,1
897,'2017/10/21 23:25:11:119',17,360.017334,316.473694,5.724242,-0.009251,-0.02555,0.037744,11.131965,2.032064,6.868393,6.875956,2.950153,2.926079,26.260559,5.600774,0,0,1
898,'2017/10/21 23:25:11:220',17,360.713959,316.763794,5.709947,-0.017966,-0.032511,0.040378,11.18425,1.961769,6.884903,6.898606,2.908334,2.895164,26.107729,5.777004,0,0,1
899,'2017/10/21 23:25:11:286',17,360.490265,316.462952,5.721859,-0.006614,-0.027736,0.03929,11.198229,2.081702,6.867902,6.8955,2.975437,2.953808,26.237343,5.597971,0,0,1
900,'2017/10/21 23:25:11:386',17,359.392151,317.108063,5.722049,-0.0214,-0.023963,0.038999,11.147662,2.006938,6.838232,6.859394,2.979764,2.959667,26.180933,5.56275,0,0,1
901,'2017/10/21 23:25:11:453',17,357.103638,317.039581,5.723242,-0.00854,-0.007838,0.038144,11.170411,1.986152,6.868799,6.887478,2.930062,2.920904,26.103146,5.760195,0,0,1
902,'2017/10/21 23:25:11:520',17,355.027435,316.888123,5.722023,0.002156,0.005357,0.037827,11.136817,2.015223,6.870146,6.894035,2.862619,2.864972,26.163519,5.713601,0,0,1
903,'2017/10/21 23:25:11:619',17,353.863037,317.828735,5.728584,-0.020587,0.012552,0.0348,11.35396,2.021347,6.802163,6.834789,2.993964,2.990611,25.955811,5.673495,0,0,1
904,'2017/10/21 23:25:11:686',17,353.235535,317.623138,5.721287,-0.02716,0.016576,0.034687,11.372081,2.230232,6.819809,6.854784,2.927961,2.923606,26.098204,5.624235,0,0,1
905,'2017/10/21 23:25:11:785',17,353.462982,317.446564,5.718239,-0.031999,0.013857,0.032106,11.379331,2.174457,6.811902,6.830374,2.92208,2.914351,26.15542,5.631726,0,0,1
906,'2017/10/21 23:25:11:853',17,354.504089,316.774261,5.717654,-0.027049,0.004437,0.029823,11.392671,2.162166,6.866939,6.882537,2.846047,2.841811,26.196463,5.629742,0,0,1
907,'2017/10/21 23:25:11:954',17,357.072113,315.31076,5.727683,-0.024955,-0.012264,0.033145,11.402439,2.42477,6.833475,6.83392,2.970635,2.956542,26.544037,5.473715,0,0,1
908,'2017/10/21 23:25:12:003',17,359.182343,313.792297,5.714707,-0.026762,-0.024174,0.031573,11.224313,2.121022,6.831138,6.835318,2.837393,2.811577,26.373846,5.536627,0,0,1
909,'2017/10/21 23:25:12:119',17,359.569458,310.726563,5.670293,-0.046819,-0.027002,0.035491,11.258286,2.03563,6.779702,6.795242,2.910747,2.896213,26.467819,5.561164,0,0,1
910,'2017/10/21 23:25:12:171',17,359.053467,306.840729,5.650209,-0.062748,-0.021062,0.035894,11.105313,2.195126,6.774823,6.80268,2.891048,2.865657,26.546764,5.474184,0,0,1
911,'2017/10/21 23:25:12:236',17,358.661285,304.716156,5.650154,-0.062343,-0.019388,0.039747,11.080747,1.948729,6.765344,6.796538,2.866738,2.851089,26.381626,5.607352,0,0,1
912,'2017/10/21 23:25:12:337',17,358.311493,303.613037,5.659777,-0.063174,-0.017973,0.040469,11.149257,2.317993,6.825024,6.854068,2.928365,2.912559,26.55464,5.397858,0,0,1
913,'2017/10/21 23:25:12:403',17,358.022461,302.696777,5.688659,-0.044929,-0.017642,0.044825,11.134253,2.127603,6.819725,6.83995,2.93542,2.929796,26.369286,5.534772,0,0,1
914,'2017/10/21 23:25:12:503',17,357.412811,302.659607,5.702761,-0.049306,-0.015297,0.043289,11.28228,2.107758,6.819798,6.856995,2.914103,2.905012,26.313553,5.541049,0,0,1
